factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,CUST_CODE
0.014766606,0.010071441,0.09809158,-0.0038581828,0.026694536,0.04770338,0.07135743,-0.005789448,0.018744996,0.06163545,CUST0000009422
0.036209878,0.080388725,0.24021389,0.087583095,0.14693388,0.14473833,0.1452113,0.12914976,0.02644903,0.018164054,CUST0000009537
0.04352306,0.2602142,0.3437276,0.14562407,-0.10655248,0.34435517,0.0816838,-0.07856645,0.3683078,0.21640868,CUST0000009737
0.005184793,0.029559022,0.039474335,0.015646435,0.02679441,0.012498287,0.009652152,0.002062081,0.0045043672,0.02271911,CUST0000010288
0.023582695,-0.008707199,0.02183219,0.060658332,0.034640018,0.04634378,0.03192356,0.007548897,-0.024246395,0.027973955,CUST0000010509
6.842255e-05,0.0007678961,-0.00064768334,8.610366e-06,-0.00010263514,0.0002698574,0.00029735433,0.0008099413,0.00049264426,0.00060472224,CUST0000010532
0.036444757,0.031621393,0.021931728,0.020418273,-0.009856286,0.04616433,-0.0053681196,0.029510569,0.0013514922,0.013565552,CUST0000010712
-0.0041015283,0.02905869,-0.024665687,0.010226558,0.0052229604,0.011838151,0.01177003,0.01672789,0.014186722,0.012357796,CUST0000010805
0.042084537,0.08620238,0.096759796,0.18976568,0.18950722,0.2337948,0.1131034,0.15884651,0.12954803,0.024524614,CUST0000010921
0.01654465,0.05660466,0.11949732,-0.007685698,0.061017208,0.03848548,0.084294915,0.015982134,0.015711166,0.09638745,CUST0000010950
0.011571202,0.1144687,0.05561515,0.093043186,0.021792587,0.14755031,-0.0102061415,0.0515159,0.014753705,0.065666385,CUST0000011068
0.00020254144,0.0002220075,0.000105857565,0.00017366487,-9.563898e-05,0.00010589639,4.1401683e-05,0.00015456164,0.00019737448,6.5042e-05,CUST0000011182
0.00042781263,0.0025687374,0.010574182,-0.00037493155,0.0011149407,0.00341148,0.0055144527,0.004482828,0.0040095598,0.008211735,CUST0000011232
0.023572871,0.02038315,0.017268723,0.07669291,0.0028249705,0.050521657,0.03590057,0.0051234188,0.013096448,0.019079736,CUST0000011546
0.077064246,0.037422813,-0.025390008,0.046969395,0.08176379,-0.01206753,0.08410834,0.07864346,0.05043747,0.08744161,CUST0000011647
-0.005376815,0.09605599,0.1812266,-0.06394885,0.09705314,0.039221816,0.12281678,0.07083132,0.06080973,0.047259226,CUST0000011873
0.0011943653,-0.0011425451,0.0025279757,0.0070653073,0.009741712,0.0017244074,0.009152292,0.007000453,0.0027352786,0.004474031,CUST0000012055
0.014950359,0.009792031,0.0060447147,0.020731779,0.004470115,0.007490249,0.01817161,0.023538131,0.014286046,0.013317488,CUST0000012241
-0.037193418,0.06347057,0.044714667,0.008760554,0.0759713,-0.03540745,-0.036763374,0.03000168,0.054585643,0.0506397,CUST0000012357
0.015421477,0.018451212,0.048591614,0.00964,0.022370087,0.017345855,0.022161124,-0.0144717125,0.03760831,0.022293549,CUST0000012470
0.03421503,0.013340629,0.011550165,0.010843083,-0.0035026083,0.029687315,0.011248324,0.0034863907,0.0028922549,-0.0014087468,CUST0000012535
0.0940997,0.16411087,0.14533946,-0.003215417,0.25737473,-0.103891715,0.036440443,0.24809869,0.07134875,0.076415434,CUST0000013075
0.0342051,0.017617641,0.03277126,0.02264784,0.009888258,0.0331731,-0.00799697,0.02057555,0.010185232,0.022455344,CUST0000013461
-0.00029458574,0.00011386777,0.00075408665,0.00014224678,-0.00018637345,0.00036146375,0.0005017386,0.0003396538,0.00043365246,0.00043199217,CUST0000013530
0.0022745596,0.006919913,0.006133418,0.00093651575,0.0021349033,0.0007749686,0.005828733,0.0056691887,0.0060316026,0.0024258413,CUST0000013725
0.1389003,0.14064185,0.04315187,0.123581626,-0.14358152,0.2261949,0.07856992,0.06278233,0.07212975,0.27288654,CUST0000014549
0.10506154,0.12025302,0.05059503,0.12235748,0.049982276,0.14674948,0.019311573,0.07931723,0.08763009,0.13479736,CUST0000014840
0.0020176647,0.0027510114,0.002941029,-0.00054953585,0.0056600915,0.0020005666,0.0035268809,0.0009664704,0.0018735166,0.0048778066,CUST0000014855
-0.00055600406,0.009137085,0.019858006,-0.0036399288,0.02080245,-0.007258394,0.012948965,0.010477736,0.011530533,0.009066983,CUST0000014942
-0.00044414925,0.000275734,0.0014005343,-0.00016409793,0.00020296362,0.00076206063,0.00068773434,0.00023765877,0.0011201941,0.0013920774,CUST0000014944
0.006138795,-0.00093609927,-0.00038475456,0.012127166,0.01252561,0.0068208007,0.01736513,-0.008490084,0.015322462,0.0055240206,CUST0000015843
-0.0022725041,0.031764597,0.123371474,0.011776441,0.019482976,0.073391505,0.0542808,0.024477895,0.03387134,0.039961055,CUST0000015949
0.0046950965,0.0014603836,0.010927162,0.008485753,0.010176426,0.048171267,0.027494961,0.0051842043,0.013446657,-0.0010302244,CUST0000015976
0.22487271,0.0034655284,0.3127553,0.21678497,0.11654966,-0.14312735,0.2890699,0.2639448,0.50335515,0.38353187,CUST0000016087
0.01867241,0.003511219,0.0007349491,0.025481114,0.015466974,0.02980732,0.016110083,-0.0011385011,0.028964728,0.02738058,CUST0000016305
0.043678574,0.24332862,0.27709535,0.13462223,0.29987237,-0.05469208,0.2583134,0.07956443,0.0753297,0.11076193,CUST0000016376
0.037249245,0.062310934,0.035242792,0.13130714,0.035081923,0.11466125,0.007012582,0.05442102,0.030984072,0.11999551,CUST0000016975
-8.475808e-05,0.0018983347,-0.0030973086,-0.00033909632,0.0017118461,0.0010258671,0.0023814805,0.0018981389,0.0021204986,0.0007992371,CUST0000017060
-0.0006150921,0.0014940947,0.0024352174,-0.00013105487,-6.43829e-05,0.0011832368,0.00057954184,0.0009369794,0.0010764516,0.0013417808,CUST0000017071
-0.00018957122,0.0011727376,-0.00072526274,0.0008656255,0.0010918584,-0.00066041085,0.00010619611,0.0005749169,-0.00071138755,0.001444337,CUST0000017220
0.08277662,0.10443055,-0.050885677,0.25630897,-0.014225909,0.23400892,0.17016217,0.13546649,0.23536848,0.09713773,CUST0000017545
-0.0017760732,0.03131466,0.012839878,0.0016319549,-0.0004909647,0.011090595,0.01902197,0.016153526,0.03820419,0.027147502,CUST0000018190
0.042344615,0.01939411,0.003363752,0.022520632,0.006074144,0.041338496,-0.00739701,0.029255267,0.015252464,0.020280233,CUST0000018390
9.312436e-05,0.00017407408,-0.00012166994,0.00013351347,6.0389288e-05,9.7078075e-05,0.0001258641,3.938508e-06,0.00015502951,0.00011246076,CUST0000018545
0.0063751047,-0.0018884551,0.011035611,0.009331693,0.005615258,0.0023416693,0.011546636,0.0035272723,0.0028511528,0.008275583,CUST0000018583
0.00052659225,-0.00096031616,0.0014446701,0.0012271246,-0.00036592968,0.004762687,-0.00021153694,0.00047069692,0.004842365,0.0023801094,CUST0000018830
0.024145871,0.014403243,0.0061047133,0.01624313,-0.00602659,0.022542316,0.0030618971,-0.0034734956,0.0015198129,0.009352649,CUST0000018911
0.08140958,0.052411716,0.06772183,0.040322147,0.05497999,0.009827628,0.03927156,0.09628262,0.07103904,0.01695461,CUST0000018943
0.00015111484,0.00010879432,-2.1934102e-06,-6.825075e-07,-2.8061231e-05,-0.00011190316,8.423918e-05,3.763127e-05,-3.3844591e-07,-2.7434156e-05,CUST0000019337
0.0006182101,0.00061998225,0.0013981123,0.0008913493,0.0011904293,0.0013144993,0.0001927658,0.0014362512,0.00018983618,0.00049180334,CUST0000019499
0.36834753,0.22361235,0.10671696,-0.10387979,0.1963969,-0.0061874934,0.4721684,0.21546212,0.22117934,0.37426412,CUST0000019629
-0.004385784,0.015521458,0.014036673,0.0019035001,0.011449201,0.0063454374,0.015295652,0.008601735,0.0064465445,0.015134002,CUST0000019980
-0.00014349083,0.00084136263,0.0021224425,4.133804e-05,0.00015079009,0.00078877946,0.0013034315,-5.4987013e-06,0.00093329564,0.0014362223,CUST0000019986
0.03884999,0.09154961,0.05391282,0.020793052,0.045511067,0.061931822,0.038469058,0.04588338,-0.013369263,0.021003097,CUST0000020029
0.0059012915,0.09720911,0.061351992,0.023082245,0.18433931,0.007801457,0.06544792,0.008782212,0.03195868,0.024673348,CUST0000020571
0.011615772,0.012424914,0.008400565,0.014321935,-0.00029575446,0.011277606,0.002258189,0.007138989,0.013073388,0.00983588,CUST0000020908
0.05626051,0.031766877,0.011325531,0.057665925,0.043961875,0.05219496,0.028261285,0.03498925,0.004149406,0.03300655,CUST0000021007
0.0007559877,0.012388297,-0.00879269,0.00075876154,-0.0021537836,0.014671971,0.0057802363,0.008569159,0.0025506779,0.004103639,CUST0000021287
