factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,PROD_CODE
-0.0051234113,0.14413087,-0.010687505,0.117692806,-0.04203467,0.049933773,0.009358778,-0.1184126,0.11864575,0.18366055,PRD0900701
-0.00930485,0.019993914,0.14626482,-0.057017855,0.0022355882,0.033776756,0.06659193,0.0029652347,0.046019822,0.068169676,PRD0900708
-0.001589451,0.11603215,0.030505534,0.06412184,0.07820741,0.057274707,0.00069405575,0.036908843,0.08460734,0.081388816,PRD0900735
0.041177657,0.08852988,0.008180791,0.07707827,0.032773037,0.08319417,0.042859416,0.041678328,0.0033155102,0.03727586,PRD0900746
0.0030064536,0.050507836,-0.041488234,0.009799399,0.0022167608,0.017359646,0.027616397,0.03803247,0.014882946,-0.004176578,PRD0900774
0.028426347,0.031758282,0.011440227,0.06624771,0.06917821,-0.013231686,0.0006162312,0.10991727,0.0032669138,0.06320133,PRD0900779
0.110378236,0.06279981,0.016372966,0.022853427,0.013340395,-0.03619429,0.013046157,0.10768303,0.031586494,-0.056692485,PRD0900830
0.033285726,0.03758047,-0.025564926,0.017847802,0.038758334,0.03129094,-0.002793955,0.041508906,0.03982448,0.028895281,PRD0900844
0.034793254,0.08445278,0.088960655,0.07677917,0.027621796,0.20473783,0.033886485,0.0139514385,0.060633108,-5.4417837e-05,PRD0900857
0.00725148,0.067359105,0.060314372,0.0011679014,0.09379086,0.016554374,0.052524853,0.011992436,0.060421944,-0.019677376,PRD0900941
0.007282341,0.034805115,0.004161173,0.0741777,0.038983747,0.013240114,0.027557012,0.082039334,-0.040989842,0.06566168,PRD0900943
0.16223554,0.3374778,0.54174566,0.23620376,0.11686869,0.41115525,0.45669585,0.34570655,0.4087671,0.5135382,PRD0900950
0.007826737,0.078450486,0.08035157,0.03843769,-0.036892686,0.056483362,0.0505247,-0.043385655,0.0180512,0.06499838,PRD0900986
0.08801133,0.052718185,0.039002378,0.04318753,-0.02252237,0.05613384,0.034039248,0.050054446,-0.01073095,-0.024297897,PRD0901048
0.057351544,0.01002163,0.06237347,0.0639713,-0.004325361,0.11103155,0.04183079,0.0076902676,0.062318653,0.040407304,PRD0901052
0.08890895,0.07183209,0.08938623,0.062732145,-0.034759816,0.08056968,-0.011560895,0.044633064,0.024964277,0.04895276,PRD0901058
-0.011057244,0.06711071,0.07473068,-0.037895627,0.15213914,0.001621745,0.14131269,0.013385571,0.019382061,-0.054078102,PRD0901064
0.051793147,0.02995507,0.057029743,0.017374624,0.05571466,0.00131854,0.066169865,0.016543854,-0.0037819368,0.052717656,PRD0901068
0.06755163,0.00478783,-0.0036656302,0.06328021,0.10621182,0.1210434,0.004399688,0.10748401,0.12967986,-0.031698387,PRD0901071
0.109067515,0.072157264,-0.007546561,0.09888071,0.0066196495,0.046172146,-0.0025161097,0.04598704,-0.029220046,-0.028276928,PRD0901084
0.1452673,0.1814985,0.044315852,0.07685956,0.1384815,0.100114815,0.14798969,0.18019752,0.03773264,0.03019184,PRD0901090
0.012070578,0.08899363,0.035946283,0.16985993,0.052645665,0.09468778,-0.07756747,0.23147961,0.07387147,0.24637918,PRD0901098
0.02268652,0.040835034,-0.023890654,0.019571882,0.003268169,0.057733364,-0.008637255,-0.0006986124,0.01959025,0.044939782,PRD0901109
-0.017761089,0.05859631,0.09502396,-0.066939205,0.065292045,0.04303209,0.01926256,-0.03028675,0.039354358,0.02837886,PRD0901115
-0.005128717,-0.004452026,0.0013552957,0.012298891,0.016005957,-0.0009742987,0.012176566,0.0029586353,0.003525371,0.014140541,PRD0901139
0.028414577,0.082468905,0.09432676,-0.0036228711,0.13037533,-0.03586906,0.053093225,0.041606557,0.092994265,0.021355744,PRD0901192
0.12703204,0.15713227,-0.02848713,-0.009333179,0.035833657,0.07207323,0.05023287,0.14929849,0.020971313,0.0250209,PRD0901194
0.0629667,0.037824187,0.1031957,0.08639185,-0.029568836,0.10440081,0.016998885,0.08910886,0.018667134,0.05708064,PRD0901220
0.056232087,0.122499414,0.08796429,0.28225788,-0.05648669,0.09968955,0.008505884,0.005722011,-0.033079844,-0.024449281,PRD0901239
0.19229305,0.07599938,0.056433406,0.0016006171,0.03213564,0.060998324,0.11440822,0.14707786,0.05859101,0.07076107,PRD0901254
0.08414667,0.08895246,0.12437451,0.054772843,-0.017448088,0.023624644,0.017672362,0.095282875,0.03428738,-0.09409353,PRD0901265
0.04638897,0.03869687,0.085264444,0.052176163,-0.023857443,0.11737097,-0.051937856,0.08308644,-0.007921752,0.14554784,PRD0901278
0.05762678,0.118333414,0.022563031,0.10313113,0.07544393,0.111224435,-0.012107666,0.024134632,-0.009286766,0.07230996,PRD0901301
0.012419524,0.032458656,0.05838957,0.034523495,-0.018912815,0.05900546,-0.026073711,0.025738895,0.0034005796,0.03503121,PRD0901303
0.08275375,0.118032984,0.083469674,0.023925297,0.14438587,-0.026177473,0.112946,0.04488147,0.062170543,0.015457945,PRD0901357
0.27320096,0.2259166,-0.044677444,0.18639107,0.14406638,0.20031251,-0.1330961,0.36720434,0.03245005,0.09151376,PRD0901364
-0.018030893,0.03832486,0.025799414,-0.006989706,0.04450838,-0.00844709,0.060806826,0.01592506,0.032249622,0.0010681747,PRD0901365
-0.03987101,0.06332124,0.12917043,-0.029126734,0.035510693,0.04332811,0.09553384,0.06840287,0.047815423,0.022355946,PRD0901399
-0.013009577,0.044565573,0.0317824,0.02214395,0.08417868,0.038342677,0.07661817,0.029731503,0.031951442,-0.0008153848,PRD0901407
-0.008970492,-0.026800703,0.13483481,0.027494885,0.07497441,0.06914389,0.07807822,0.054410305,0.06442713,0.053797416,PRD0901415
0.03220698,0.057213463,0.07292071,0.02331218,-0.027249336,3.014287e-05,0.00069974636,-0.012470879,-0.057299208,-0.028020157,PRD0901428
0.18813694,-0.00851794,0.084370874,0.11507107,0.020535748,0.18493563,-0.035212442,0.031531435,0.14079697,0.101027146,PRD0901431
-0.011561736,-0.009300427,0.026223175,0.010531051,0.049529795,0.0044215745,0.040840328,0.019558843,0.010323492,0.03167154,PRD0901434
0.024139695,0.101799265,0.003783579,0.14228736,0.0335698,0.06611398,0.1052682,0.07071218,0.09069439,0.06266504,PRD0901496
-0.04069575,0.039452456,0.033507466,0.09598067,-0.010125327,0.06477118,-0.014166004,0.0707315,-0.02067005,0.15141599,PRD0901527
0.05683166,0.04239207,-0.020195387,0.045242153,0.0053999103,0.060414366,0.06116965,0.04039422,0.059546776,0.06313257,PRD0901528
0.00055516337,0.00027627798,-9.495054e-05,0.00025807644,0.0007545522,0.00060296454,0.00077122904,0.00060894236,0.0013687104,0.0006187684,PRD0901553
0.03906851,0.00716299,-0.0002399709,0.026931372,0.04004714,0.0058881417,0.0038574752,0.058777064,0.0642667,0.028968006,PRD0901565
-0.028662726,0.0860642,0.14790155,-0.012100785,0.2029841,-0.049510542,0.10972114,0.057362918,0.056101408,0.11119535,PRD0901589
0.22437468,0.19338319,0.49524668,0.23566073,0.43580955,0.380389,0.29025334,0.30071896,0.15371585,0.22036196,PRD0901595
-0.00023349121,0.01922591,0.011039805,-0.007351283,0.037608232,-0.016986528,0.018958189,0.008761055,0.016566584,0.022488201,PRD0901608
0.07102075,0.06932768,-0.025734136,0.07854927,0.061914578,0.009604042,-0.043325208,0.108610325,0.07006047,0.11264426,PRD0901625
0.039526828,0.13022023,0.16629036,0.2737482,0.056568835,0.15163305,0.13749918,0.21875998,0.19753312,0.049389534,PRD0901637
0.033002194,0.067417346,0.0071815746,0.016052937,0.076080814,-0.03175247,0.059798304,0.028323477,0.011788981,0.053685233,PRD0901658
0.0196133,0.002595437,0.005538589,0.09421863,0.05457815,-0.017998321,0.048796944,0.06407596,0.124426864,0.021837503,PRD0901672
0.07878104,-0.022234766,0.070850596,-0.024178063,0.075502686,-0.04041666,0.11561718,-0.050791472,-0.042504665,0.07198293,PRD0901712
0.06891322,0.12101268,0.28174755,-0.017896777,-0.003311829,0.088553175,0.09656929,-0.014109485,0.025134562,0.11741152,PRD0901739
0.01569736,0.03524751,0.06331474,0.007951588,-0.015556158,0.05821602,0.010204704,0.011962425,-0.021479221,0.021436399,PRD0901749
0.032261178,0.055875152,0.015136254,0.06366459,-0.052013073,0.06272307,0.030382643,0.039644945,0.0074415416,0.061034836,PRD0901776
0.009397725,-0.007948357,0.033516873,-0.0066955774,0.036747087,-0.037927642,0.053203706,0.020518659,0.008546367,0.049722575,PRD0901777
0.009635674,0.032015726,0.1139149,0.05776889,0.06812732,0.03133544,0.011495137,-0.010797316,0.06526776,0.072165936,PRD0901778
0.015687961,0.035227805,-0.008092718,0.04623547,0.05868183,0.06124548,0.100682795,0.016125638,0.09022566,0.030130422,PRD0901842
0.038509488,0.05294482,0.007897112,0.020012505,-0.018178858,0.031506013,-0.02771285,0.06498892,0.0012372348,-0.030931188,PRD0901861
0.10978935,0.31335238,0.6261509,0.14855312,0.288149,0.3054414,0.43329427,0.31885424,0.3997173,0.58080506,PRD0901901
-0.07051904,0.1116405,0.12506495,-0.016305463,0.1865927,-0.030991502,-0.0410492,0.00072174537,0.11242666,-0.026634812,PRD0901908
-0.007059184,0.023255393,0.012373403,0.05722879,0.03567818,0.05872616,-0.0076515796,0.01281271,0.05149783,0.0644828,PRD0901913
0.031380467,0.0351697,0.06796557,0.023329556,-0.0032071876,0.073303185,0.021528823,0.011121008,0.049057197,0.047699668,PRD0901928
0.14880407,0.100298055,0.018232008,0.16265407,0.0093979025,0.09976089,0.11337469,-0.009807629,0.1249613,0.07965308,PRD0901931
0.06506888,0.022441495,0.038679603,0.08326137,0.063539535,0.0025256106,0.023563173,0.03171631,0.028335588,0.04076956,PRD0901954
0.044693664,-0.037136227,0.060640313,0.048467442,0.0733427,0.057409838,-0.04496954,0.07648123,-0.016637582,0.09494539,PRD0901980
0.043564674,0.047250815,-0.025907775,0.06522965,0.059698023,0.02800293,-0.02606778,0.13952981,0.068894476,0.09508733,PRD0902103
0.021932704,0.08256707,0.036520015,0.11154071,0.003026962,0.05299715,-0.015331919,0.041205395,-0.06382933,0.026539661,PRD0902117
-0.00603273,0.04115475,0.027489355,-0.029827064,0.04884236,0.0011470502,0.034512173,0.017801005,0.034590967,0.0657438,PRD0902149
-0.0051706294,0.02347267,0.0207102,0.015206769,-0.012409869,0.03573719,0.0077630817,0.024453994,-0.00516836,0.072925195,PRD0902199
9.668402e-05,-8.5192376e-05,-0.0007072278,0.001055216,0.0006370377,0.00037249996,0.00039158014,-0.00027590568,0.000741668,0.0011192404,PRD0902201
0.013025652,0.025681697,0.03574016,0.0036272227,0.011258816,0.0065677613,0.0059324573,0.013484116,-0.018166816,0.004364139,PRD0902212
0.039990257,0.0021548828,0.027924914,0.060040485,0.013197838,0.009261577,-0.011624973,0.07111152,0.049177837,0.029160243,PRD0902250
0.03545266,0.038833026,0.028057609,0.017747156,0.040596493,0.002933195,-0.019259376,0.013005312,0.061634388,0.07174517,PRD0902269
0.0039702286,0.048095047,-0.013721553,0.07863685,0.09131441,-0.03269304,0.045130275,-0.0076112403,0.06480689,0.04633823,PRD0902321
0.01118425,0.17949736,-0.13947181,-0.003803621,-0.042939786,0.07792434,0.08618709,0.118875705,0.04668602,0.035286993,PRD0902335
0.0009900926,0.00047593485,8.155156e-05,0.0005427744,0.00031156582,0.0009958339,-3.4419223e-05,0.00060839736,-0.00031241213,0.0002045504,PRD0902371
0.0008135102,0.0005020595,-0.00017133234,0.0007078682,0.000478996,0.00030454452,0.0002600886,-0.00014773369,0.00036864536,0.0004541077,PRD0902398
0.14959009,0.014232997,-0.015108517,0.036321215,0.042338025,0.05758508,-0.071809135,0.05597544,0.008602242,-0.02919668,PRD0902414
0.009297851,-0.0010459251,0.015486238,0.008021648,0.0052083903,0.008787327,0.008024158,0.026908183,-0.0059875036,0.004188572,PRD0902426
3.4138793e-05,0.0002825459,0.00021850655,-2.7377364e-05,-2.9396268e-05,0.0004936891,0.00046193568,-0.00021691628,0.001086454,0.0005240776,PRD0902498
0.066644244,-0.02061042,0.08766621,0.10113189,0.0014607995,0.022481937,0.046750184,-0.019272514,0.1077328,0.06695311,PRD0902499
0.07104829,0.083970875,0.108304724,-0.008359778,0.058686625,0.020601243,0.0557456,0.039145898,0.07521388,0.03895354,PRD0902543
